Time,Seed,Model,Value
0,1,control,31253
3,1,control,31367
6,1,control,31418
9,1,control,31224
12,1,control,31202
15,1,control,31348
18,1,control,31456
21,1,control,31332
24,1,control,31376
27,1,control,31348
30,1,control,31413
33,1,control,31342
36,1,control,31223
39,1,control,31258
42,1,control,31310
45,1,control,31329
48,1,control,31279
0,10,control,31071
3,10,control,31312
6,10,control,31318
9,10,control,31238
12,10,control,31151
15,10,control,31051
18,10,control,31216
21,10,control,31220
24,10,control,31135
27,10,control,31069
30,10,control,31214
33,10,control,31153
36,10,control,31093
39,10,control,31037
42,10,control,31163
45,10,control,31111
48,10,control,31154
0,100,control,31037
3,100,control,31148
6,100,control,31073
9,100,control,31095
12,100,control,31124
15,100,control,31040
18,100,control,31061
21,100,control,31067
24,100,control,30990
27,100,control,31053
30,100,control,31090
33,100,control,30991
36,100,control,31038
39,100,control,31177
42,100,control,30899
45,100,control,31043
48,100,control,31058
0,101,control,31028
3,101,control,30959
6,101,control,31049
9,101,control,31104
12,101,control,31087
15,101,control,31034
18,101,control,31163
21,101,control,31026
24,101,control,30903
27,101,control,30992
30,101,control,30877
33,101,control,31032
36,101,control,30939
39,101,control,31030
42,101,control,31001
45,101,control,31137
48,101,control,31082
0,102,control,31144
3,102,control,31142
6,102,control,31089
9,102,control,31153
12,102,control,31117
15,102,control,31220
18,102,control,31169
21,102,control,31192
24,102,control,31149
27,102,control,31267
30,102,control,31230
33,102,control,31144
36,102,control,31110
39,102,control,31179
42,102,control,31135
45,102,control,31061
48,102,control,31049
0,103,control,30882
3,103,control,31143
6,103,control,31153
9,103,control,31010
12,103,control,30909
15,103,control,31000
18,103,control,30854
21,103,control,30902
24,103,control,30927
27,103,control,30873
30,103,control,30950
33,103,control,30990
36,103,control,30947
39,103,control,30972
42,103,control,30977
45,103,control,30855
48,103,control,30860
0,104,control,31129
3,104,control,31325
6,104,control,31079
9,104,control,31017
12,104,control,31261
15,104,control,31354
18,104,control,31152
21,104,control,31268
24,104,control,31113
27,104,control,31094
30,104,control,31279
33,104,control,31241
36,104,control,31133
39,104,control,31128
42,104,control,31305
45,104,control,31147
48,104,control,31080
0,105,control,30881
3,105,control,30693
6,105,control,30651
9,105,control,30850
12,105,control,30773
15,105,control,30897
18,105,control,30844
21,105,control,30863
24,105,control,30847
27,105,control,30745
30,105,control,30819
33,105,control,30960
36,105,control,30789
