Time,Seed,Model,Value
0,1,control,0.0028845
3,1,control,0.002876
6,1,control,0.002916
9,1,control,0.0029505
12,1,control,0.0029025
15,1,control,0.002894
18,1,control,0.002905
21,1,control,0.0028755
24,1,control,0.002908
27,1,control,0.002878
30,1,control,0.0029285
33,1,control,0.002937
36,1,control,0.0029185
39,1,control,0.0029215
42,1,control,0.0029
45,1,control,0.0028845
48,1,control,0.0029515
0,10,control,0.002836
3,10,control,0.0028405
6,10,control,0.0028725
9,10,control,0.002849
12,10,control,0.0028695
15,10,control,0.0028655
18,10,control,0.0028345
21,10,control,0.0028465
24,10,control,0.0028715
27,10,control,0.0028705
30,10,control,0.002862
33,10,control,0.002865
36,10,control,0.0028945
39,10,control,0.002838
42,10,control,0.002879
45,10,control,0.0028345
48,10,control,0.0028665
0,100,control,0.0027525
3,100,control,0.0027525
6,100,control,0.0027505
9,100,control,0.0027325
12,100,control,0.002742
15,100,control,0.002716
18,100,control,0.002726
21,100,control,0.002756
24,100,control,0.0027785
27,100,control,0.002747
30,100,control,0.00277
33,100,control,0.002751
36,100,control,0.002787
39,100,control,0.0027675
42,100,control,0.002751
45,100,control,0.002745
48,100,control,0.002736
0,101,control,0.002754
3,101,control,0.002748
6,101,control,0.002724
9,101,control,0.0027805
12,101,control,0.002766
15,101,control,0.0027285
18,101,control,0.002786
21,101,control,0.002732
24,101,control,0.002742
27,101,control,0.0027405
30,101,control,0.00275
33,101,control,0.002748
36,101,control,0.002745
39,101,control,0.002722
42,101,control,0.0027364999999999998
45,101,control,0.002792
48,101,control,0.0027595
0,102,control,0.0028115
3,102,control,0.002794
6,102,control,0.002746
9,102,control,0.002788
12,102,control,0.002792
15,102,control,0.002798
18,102,control,0.002837
21,102,control,0.0028205
24,102,control,0.002818
27,102,control,0.00278
30,102,control,0.002773
33,102,control,0.0027875
36,102,control,0.0028045
39,102,control,0.0027775
42,102,control,0.002802
45,102,control,0.0027635
48,102,control,0.0028065
0,103,control,0.0028795
3,103,control,0.002836
6,103,control,0.002878
9,103,control,0.0028555
12,103,control,0.002891
15,103,control,0.0028995
18,103,control,0.0028975
21,103,control,0.0028895
24,103,control,0.0029155
27,103,control,0.00286
30,103,control,0.0028745
33,103,control,0.002883
36,103,control,0.0029245
39,103,control,0.0028769999999999998
42,103,control,0.002881
45,103,control,0.0028765
48,103,control,0.00288
0,104,control,0.002817
3,104,control,0.002816
6,104,control,0.002815
9,104,control,0.0028225
12,104,control,0.0027855
15,104,control,0.002812
18,104,control,0.002792
21,104,control,0.0028205
24,104,control,0.0028165
27,104,control,0.002822
30,104,control,0.0028245
33,104,control,0.002844
